﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,,,
spotify:track:3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,Lil Uzi Vert,Sanguine Paradise,1,1,243976,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6u7jPi22kF8CTQ3rb9DHE7,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,1,1,157066,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:13ZyrkCDmRz5xY3seuAWYk,Hear Me Calling,Juice WRLD,Death Race For Love,1,6,189977,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1Bp5LdIxR3XlprIigqp4en,Adults Swim,Ski Mask The Slump God,STOKELEY,1,7,106160,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:4ZT9FnbFu1PaBfV3itxiqT,I,Lil Skies,Shelby,1,1,181890,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2uw8vslyCoFLQsoPcIhen5,Killer (feat. Drake),"Nipsey Hussle, Drake",Nip Hussle the Great: Vol. 1,1,8,199146,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:39xWBHPM4E9MwzEy5gbM7p,Last Time That I Checc'd (feat. YG),"Nipsey Hussle, YG",Victory Lap,1,3,225573,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6ya8ejoKgw906Y8LWclqrp,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),"Nipsey Hussle, Roddy Ricch, Hit-Boy",Racks in the Middle (feat. Roddy Ricch and Hit-Boy),1,1,233277,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0mhsw7HRwRwF79ES5ucP9Y,Thug Life,21 Savage,Issa Album,1,9,263426,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:5TvbwJP6gEq3dKtdYxZRRh,Alors On Danse,"Stromae, Kanye West",Cheese (International Deluxe Edition),1,12,213520,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1zDwQIp3BgbH9dSmYtPBDH,420 in London,"Pressa, Lil Uzi Vert, Murda Beatz",420 in London,1,1,219088,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2NjeQLvFsfeKdZoA7dbfL1,PERCS | PERCZ,Denzel Curry,TA13OO,3,2,186626,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6b4A1mLzePAHGn3XCicLAe,SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D],"Denzel Curry, JID",TA13OO,2,4,236106,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7oopoWQa0jicMSf9SFtxMK,SWITCH IT UP | ZWITCH 1T UP,Denzel Curry,TA13OO,2,2,175906,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7rN4EEiOQEO73tnjrrt5Tn,Blank Blank,DaBaby,Blank Blank,1,2,173213,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6s1PuFrmSccuZ5yJLfp9Pn,DaBaby (Intro),DaBaby,God's Work Resurrected,1,1,89469,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1sGJuHgFf7ErgiPtm7kYGv,Captura de lobos,Los Orientales de Paramonga,Cumbia Beat Volume 1,1,18,167200,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:14OxJlLdcHNpgsm4DRwDOB,Habits (Stay High),Tove Lo,Queen Of The Clouds,1,13,209160,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:4zWO4gvuFtw6EJZC5FFGlr,Bum Bum Tam Tam,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán",Bum Bum Tam Tam,1,1,213988,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:4dTiQezDWmEOWcdCbWVWMp,Numb Numb Juice,ScHoolboy Q,Numb Numb Juice,1,1,114973,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:21kOVEG3bDCVphKhXL8XmQ,Walk,Comethazine,Bawskee,1,1,96063,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2OaKHGvIxoOzIYjyMsxcT8,3 Headed Snake (feat. Young Thug),"Gunna, Young Thug",Drip or Drown 2,1,11,241995,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1ThmUihH9dF8EV08ku5AXN,Faucet Failure,Ski Mask The Slump God,STOKELEY,1,11,145626,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0c7K73roy6RW4ebDkf4yGh,VALENTINO,24kGoldn,VALENTINO,1,1,179133,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0kThfZBaTK6ASlukmmxrgk,Pay the Man - Remix,"Foster The People, JID, Saba",Pay the Man (Remix),1,1,245280,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0UWCHjvs8RAoti9HH0rhnx,Christ Conscious,Joey Bada$$,Christ Conscious,1,1,173793,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,A Boogie Wit da Hoodie,Hoodie SZN,1,11,179449,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:72ic9IhRix05fIkRzGGMXD,Boca Raton (with A$AP Ferg),"Bas, A$AP Ferg",Milky Way,1,4,197306,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6AyI8UGx8Y4peb7pLOy2pf,7 rings (feat. 2 Chainz) - Remix,"Ariana Grande, 2 Chainz",7 rings (Remix),1,1,178640,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3EikYy40GMSp8l5mDV6IQo,Foot Fungus,Ski Mask The Slump God,STOKELEY,1,3,129546,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0UgavZ34yLBu8LtA6Bwxch,CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,1,1,231333,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:5O9zs6G6RcB6yP1OKwnwiM,Choppa Won't Miss (feat. Young Thug),"Playboi Carti, Young Thug",Die Lit,1,17,217960,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:11QvWp3CsEPd0YLE6xKGyx,My Boy (feat. J. Cole) - Freestyle,"Wale, J. Cole",Free Lunch,1,4,269657,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,J. Cole,MIDDLE CHILD,1,1,213593,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,i am > i was,1,1,288624,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0YAQnYt2oB8OdoaeqnHyTI,Tribe (with J. Cole),"Bas, J. Cole",Milky Way,1,3,238053,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1uULQtJ8rbsX5TwjPpPc9Q,4L,21 Savage,i am > i was,1,15,288364,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3DkpUR4TEV2XCxFsSL9m0r,Ocean to Ocean,"Pitbull, Rhea",Aquaman (Original Motion Picture Soundtrack),1,19,145026,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0jqLv5PuEUA0GthFjdtlS1,Oodles O' Noodles Babies,Meek Mill,Championships,1,13,181274,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1MnJ5vOM6V5S2l8VN7LjbT,"14,400 Minutes",Chance the Rapper,10 Day,1,1,128571,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:34oFssnMdj7HNZRX7L98pT,Nostalgia,Chance the Rapper,10 Day,1,2,203613,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:2PJskAaUDRC4kMeR0CowfZ,Missing You,Chance the Rapper,10 Day,1,3,204293,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:1h3qLl1QJfXlRppxMIcnfn,Windows,"Chance the Rapper, Alex Wiley, Akenya",10 Day,1,4,175500,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:2wW3yIdBoOJ2qI03k1itjJ,Brain Cells,Chance the Rapper,10 Day,1,5,292357,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:4h6rLRQt8ARN8xA6ZLnpiw,Long Time,Chance the Rapper,10 Day,1,6,225000,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:0Ep9wqVQKcWCiI0PzbbLog,22 Offs,Chance the Rapper,10 Day,1,7,95277,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:6I0nu5bdf41rWrkjd7h21T,U Got Me Fucked Up,Chance the Rapper,10 Day,1,8,170958,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:5sBdN0nmo9HuQ8nJoKdvmB,Family,"Chance the Rapper, Vic Mensa, Sulaiman",10 Day,1,9,245161,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:6WlFRiAU6pT47cQFxuXcxn,Juke Juke,Chance the Rapper,10 Day,1,10,245000,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:22Fw5jzsAI3Kp4TEeH1cbU,Fuck You Tahm Bout,Chance the Rapper,10 Day,1,11,249000,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:2O3J8eobOKVlEfh1FxDqS5,Long Time II,"Chance the Rapper, Nico Segal",10 Day,1,12,237333,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:0vzyHoZduwzvQTMkKZ2OdU,Prom Night,Chance the Rapper,10 Day,1,13,324603,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:0RRCfVq5I4fb5FMu71Lrry,Hey Ma,"Chance the Rapper, Lili K, Peter CottonTale",10 Day,1,14,304153,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:3ZLyt2ndLFBh148XRYjYYZ,All We Got (feat. Kanye West & Chicago Children's Choir),"Chance the Rapper, Kanye West, Chicago Children's Choir",Coloring Book,1,1,203794,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:2fl0B0OaXjWbjHCQFx2O8W,Summer Friends (feat. Jeremih & Francis & The Lights),"Chance the Rapper, Jeremih, Francis and the Lights",Coloring Book,1,3,290316,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
